chart_id,page,title,chart_type,data_file,x_field,y_fields,bar_y_field,line_y_field,series_field,fields,aggregation,purpose,privacy_classification
overview_population_composition,Overview,Population Composition,donut,project_summary.json,,,,,,"total_positives, total_negatives",,Show the rare-event class balance without using accuracy.,aggregate_or_configuration
overview_model_status,Overview,Current Model Status,status_cards,model_registry.json,,,,,,"model_id, training_mode, calibration_status, product_role",,"Show which models are benchmarks, calibrated candidates, and proof-of-concept collaborative models.",aggregate_or_configuration
overview_partner_population,Overview,Partner Site Population,horizontal_bar,fl_client_summary.csv,population,site_id,,,,"",,Show aggregate population contribution by synthetic partner site.,aggregate_or_configuration
risk_threshold_tradeoff,Risk Population,Threshold Tradeoff,multi_line,threshold_analysis_summary.csv,threshold,"precision, recall_sensitivity, specificity",,,,"",,"Show how threshold selection changes precision, recall, and specificity.",aggregate_or_configuration
risk_predicted_positive_rate,Risk Population,Workload by Threshold,line,threshold_analysis_summary.csv,threshold,predicted_positive_rate,,,,"",,Show how much of the population would be selected at each threshold.,aggregate_or_configuration
risk_band_table,Risk Population,Risk Band Summary,table,threshold_analysis_summary.csv,,,,,,"planning_mode, top_k_percent, precision, recall_sensitivity, predicted_positive_rate, status",,Provide the schema for future top-k risk bands.,aggregate_or_configuration
planner_capacity_curve,Intervention Planner,Capacity Curve,combo_line_bar,threshold_analysis_summary.csv,threshold,,predicted_positive_rate,recall_sensitivity,,"",,Support capacity planning by connecting workload and captured cases.,aggregate_or_configuration
planner_confusion_counts,Intervention Planner,Expected Outcome Counts,stacked_bar,threshold_analysis_summary.csv,threshold,"true_positives, false_positives, false_negatives",,,,"",,"Show the operational tradeoff between captured cases, review burden, and missed cases.",aggregate_or_configuration
cohort_feature_importance,Cohort Insights,Top Risk Drivers,horizontal_bar,feature_importance_summary.csv,importance_gain,feature,,,,"",,Explain aggregate high-risk cohort drivers without implying causality.,aggregate_or_configuration
cohort_driver_groups,Cohort Insights,Driver Categories,bar,feature_importance_summary.csv,product_group,count,,,,"",count_rows,Group drivers into clinical and utilization categories for end users.,aggregate_or_configuration
site_population_bar,Partner Sites,Population by Site,horizontal_bar,fl_client_summary.csv,population,site_id,,,,"",,Show aggregate participation scale by synthetic site.,aggregate_or_configuration
site_positive_rate_dot,Partner Sites,Positive Rate by Site,dot_plot,fl_client_summary.csv,positive_rate,site_id,,,,"",,Compare site class balance using aggregate rates.,aggregate_or_configuration
site_validation_matrix,Partner Sites,Site Readiness,status_table,fl_client_summary.csv,,,,,,"site_id, validation_status, participation_status, privacy_notes",,Show partner readiness and privacy-safe participation status.,aggregate_or_configuration
trust_model_comparison,Trust & Validation,Model Comparison,grouped_bar,centralized_vs_federated_metrics.csv,model_id,"AUROC, AUPRC, Brier",,,,"",,Compare model evidence directionally across centralized and collaborative candidates.,aggregate_or_configuration
trust_temporal_stability,Trust & Validation,Temporal Stability,multi_line,temporal_validation_metrics.csv,prediction_year,"AUROC, AUPRC, Brier score",,,probability_version,"",,Show rolling-window performance and calibration stability.,aggregate_or_configuration
trust_calibration,Trust & Validation,Calibration Comparison,grouped_bar,calibration_summary.csv,probability_version,"Brier score, log loss",,,,"",,Show why calibrated probabilities are preferred for risk communication.,aggregate_or_configuration
trust_collaborative_training_trend,Trust & Validation,Collaborative Training Trend,multi_line,fl_training_rounds.csv,round,"global_weighted_auroc, global_weighted_auprc, global_weighted_brier",,,,"",,Show aggregate proof-of-concept training behavior without exposing low-level internals.,aggregate_or_configuration
reports_catalog,Reports,Governance Reports,action_table,dashboard_page_specs.json,,,,,,"report_name, audience, source_files",,Let users download governance-ready reports from aggregate sources.,aggregate_or_configuration
settings_model_registry,Settings,Model Registry,table,model_registry.json,,,,,,"model_id, model_name, training_mode, calibration_status, product_role",,Support product-level model selection without exposing technical training controls.,aggregate_or_configuration
